Time,State,X,Y,Z,RX,RY,RZ,F
1754868576.3045094,1,0,0,0,0,0,0,0
1754868586.8561997,0,0,0,0,0,0,0,0
1754868587.3957546,0,-0.1,0.52,0.4,-90,-112,0,0
1754868590.6099076,0,-0.1,0.62,0.4,-90,-112,0,0
1754868591.9387698,1,0,0,0,0,0,0,3
1754868619.012476,0,-0.1,0.62,0.3,-90,-112,0,0
1754868620.3540096,1,0,0,0,0,0,0,1
1754868631.413111,0,-0.1,0.52,0.3,-90,-112,0,0
1754868632.6561906,0,-0.3,0,0.35,-179.5,0,-179.5,0
1754868636.9615912,0,-0.3,0,0.2,-179.5,0,-179.5,0
1754868638.420118,1,0,0,0,0,0,0,0
1754868638.9271479,0,-0.3,0,0.35,-179.5,0,-179.5,0
1754868640.3825467,0,0,0,0,0,0,0,0
