frame,timestamp_sec,track_id,label,score,u,v,bbox_x1,bbox_y1,bbox_x2,bbox_y2,X_m,Y_m,Z_m
0,1762976102.596913,1,blueberry,0.9719,700.00,480.50,672,456,728,505,0.0268,0.4754,0.0013
0,1762976102.596913,2,blueberry,0.9692,503.00,620.00,480,597,526,643,-0.0633,0.4994,0.0661
0,1762976102.596913,3,blueberry,0.9539,961.00,603.00,935,579,987,627,0.1392,0.4629,0.0518
1,1762976107.031949,1,blueberry,0.9778,701.50,482.00,673,458,730,506,0.0277,0.4758,0.0013
1,1762976107.031949,2,blueberry,0.9748,503.00,622.00,479,599,527,645,-0.0642,0.4990,0.0670
1,1762976107.031949,3,blueberry,0.9569,963.00,604.00,937,580,989,628,0.1381,0.4621,0.0535
2,1762976111.829859,1,blueberry,0.9770,701.50,482.00,673,458,730,506,0.0277,0.4750,0.0022
2,1762976111.829859,2,blueberry,0.9725,503.50,622.00,479,599,528,645,-0.0660,0.4990,0.0550
2,1762976111.829859,3,blueberry,0.9562,962.00,603.50,936,580,988,627,0.1375,0.4629,0.0518
3,1762976115.781085,1,blueberry,0.9759,702.00,481.00,674,457,730,505,0.0277,0.4754,0.0022
3,1762976115.781085,2,blueberry,0.9737,503.50,620.00,480,597,527,643,-0.0633,0.4994,0.0661
3,1762976115.781085,3,blueberry,0.9552,963.00,604.00,937,580,989,628,0.1375,0.4629,0.0518
4,1762976149.810318,1,blueberry,0.9652,951.50,536.50,900,485,1003,588,0.0677,0.2352,0.0111
5,1762976151.019896,1,blueberry,0.9659,951.50,536.50,900,485,1003,588,0.0681,0.2352,0.0120
5,1762976151.019896,2,blueberry,0.9514,647.50,189.50,604,143,691,236,0.0017,0.2673,-0.0754
6,1762976153.600329,1,blueberry,0.9668,950.50,535.50,901,480,1000,591,0.0677,0.2352,0.0111
7,1762976154.971187,1,blueberry,0.9662,950.50,535.50,901,480,1000,591,0.0686,0.2352,0.0150
8,1762976347.662648,1,blueberry,0.9730,698.50,470.00,670,446,727,494,0.0251,0.4750,-0.0022
8,1762976347.662648,2,blueberry,0.9724,500.00,610.50,477,588,523,633,-0.0652,0.4994,0.0605
8,1762976347.662648,3,blueberry,0.9599,961.00,592.00,936,568,986,616,0.1381,0.4621,0.0483
9,1762976351.251260,1,blueberry,0.9729,698.50,470.50,670,446,727,495,0.0268,0.4746,-0.0031
9,1762976351.251260,2,blueberry,0.9664,500.00,610.00,476,588,524,632,-0.0679,0.4994,0.0504
9,1762976351.251260,3,blueberry,0.9593,961.50,592.50,937,569,986,616,0.1374,0.4625,0.0492
10,1762976355.404376,1,blueberry,0.9742,699.00,471.50,670,448,728,495,0.0250,0.4746,-0.0022
10,1762976355.404376,2,blueberry,0.9669,500.00,610.00,476,588,524,632,-0.0670,0.4990,0.0503
10,1762976355.404376,3,blueberry,0.9528,961.00,593.00,936,569,986,617,0.1381,0.4621,0.0483
11,1762976359.597821,2,blueberry,0.9737,500.50,611.00,477,588,524,634,-0.0670,0.4990,0.0503
11,1762976359.597821,1,blueberry,0.9726,698.50,471.50,670,447,727,496,0.0259,0.4746,-0.0022
11,1762976359.597821,3,blueberry,0.9524,961.00,592.50,936,569,986,616,0.1381,0.4621,0.0483
12,1762976392.218213,1,blueberry,0.9682,639.50,560.50,590,514,689,607,-0.0002,0.2353,0.0185
13,1762976393.427875,1,blueberry,0.9723,639.50,560.50,590,514,689,607,-0.0011,0.2355,0.0177
14,1762976394.919794,1,blueberry,0.9717,640.50,560.50,591,514,690,607,-0.0002,0.2355,0.0185
15,1762976396.290746,1,blueberry,0.9733,640.00,560.00,590,513,690,607,-0.0011,0.2355,0.0181
16,1762976841.347185,1,blueberry,0.9786,697.00,483.00,668,459,726,507,0.0242,0.4758,0.0031
16,1762976841.347185,2,blueberry,0.9759,496.50,618.50,472,596,521,641,-0.0697,0.4985,0.0540
16,1762976841.347185,3,blueberry,0.9543,954.00,609.50,929,586,979,633,0.1352,0.4636,0.0553
17,1762976845.016828,1,blueberry,0.9790,697.00,483.00,668,459,726,507,0.0251,0.4758,0.0031
17,1762976845.016828,2,blueberry,0.9734,497.00,618.50,473,596,521,641,-0.0678,0.4985,0.0669
17,1762976845.016828,3,blueberry,0.9571,953.50,609.00,928,585,979,633,0.1354,0.4644,0.0546
18,1762976849.251034,1,blueberry,0.9807,697.00,483.00,668,459,726,507,0.0242,0.4758,0.0031
18,1762976849.251034,2,blueberry,0.9747,496.50,618.50,472,596,521,641,-0.0697,0.4985,0.0540
18,1762976849.251034,3,blueberry,0.9531,953.50,609.50,928,586,979,633,0.1352,0.4636,0.0553
19,1762976853.081986,1,blueberry,0.9802,697.00,483.00,668,459,726,507,0.0224,0.4754,0.0031
19,1762976853.081986,2,blueberry,0.9760,496.50,618.50,472,596,521,641,-0.0711,0.4959,0.0546
19,1762976853.081986,3,blueberry,0.9576,953.50,609.50,928,586,979,633,0.1360,0.4636,0.0562
20,1762976886.229996,1,blueberry,0.9785,660.50,316.00,619,278,702,354,0.0050,0.2847,-0.0440
20,1762976886.229996,2,blueberry,0.9685,954.50,651.00,906,602,1003,700,0.0715,0.2453,0.0406
21,1762976888.528589,1,blueberry,0.9789,661.00,315.00,619,278,703,352,0.0040,0.2846,-0.0440
21,1762976888.528589,2,blueberry,0.9728,955.00,650.00,907,597,1003,703,0.0716,0.2455,0.0416
22,1762976891.190120,1,blueberry,0.9752,660.50,315.50,619,278,702,353,0.0050,0.2847,-0.0445
22,1762976891.190120,2,blueberry,0.9732,954.50,650.00,907,597,1002,703,0.0711,0.2454,0.0406
23,1762976893.891978,1,blueberry,0.9811,659.50,315.50,619,278,700,353,0.0055,0.2847,-0.0435
23,1762976893.891978,2,blueberry,0.9737,954.50,649.50,906,597,1003,702,0.0724,0.2454,0.0420
24,1762977133.434373,1,blueberry,0.9826,673.50,652.00,628,609,719,695,0.0077,0.2525,0.0409
25,1762977134.523216,1,blueberry,0.9843,674.00,653.00,628,608,720,698,0.0086,0.2522,0.0418
26,1762977135.733042,1,blueberry,0.9835,673.50,651.50,628,608,719,695,0.0077,0.2526,0.0418
27,1762977137.144506,1,blueberry,0.9830,673.50,651.50,628,608,719,695,0.0086,0.2523,0.0413
28,1762979082.147601,1,blueberry,0.9750,515.50,625.50,491,603,540,648,-0.0622,0.4977,0.0566
28,1762979082.147601,2,blueberry,0.9724,748.50,515.00,722,492,775,538,0.0469,0.4734,0.0057
28,1762979082.147601,3,blueberry,0.9701,981.50,609.50,955,585,1008,634,0.1457,0.4617,0.0543
29,1762979086.180920,2,blueberry,0.9719,748.50,514.00,722,491,775,537,0.0470,0.4742,0.0171
29,1762979086.180920,1,blueberry,0.9687,515.50,624.50,491,602,540,647,-0.0623,0.4990,0.0568
29,1762979086.180920,3,blueberry,0.9641,981.50,608.50,955,584,1008,633,0.1457,0.4617,0.0551
30,1762979090.052903,2,blueberry,0.9735,748.50,513.00,722,490,775,536,0.0461,0.4746,0.0189
30,1762979090.052903,1,blueberry,0.9665,515.00,622.50,491,601,539,644,-0.0614,0.4985,0.0558
30,1762979090.052903,3,blueberry,0.9655,981.00,608.50,953,581,1009,636,0.1440,0.4617,0.0543
31,1762979094.005556,2,blueberry,0.9748,748.00,514.00,721,491,775,537,0.0470,0.4746,0.0154
31,1762979094.005556,3,blueberry,0.9679,981.50,607.50,955,583,1008,632,0.1440,0.4617,0.0534
31,1762979094.005556,1,blueberry,0.9668,515.00,622.50,491,601,539,644,-0.0622,0.4981,0.0558
32,1762979121.391869,1,blueberry,0.9827,857.00,507.00,815,461,899,553,0.0485,0.2460,0.0057
32,1762979121.391869,2,blueberry,0.9810,622.00,110.00,581,71,663,149,0.0053,0.2752,-0.1001
33,1762979123.731205,2,blueberry,0.9858,622.50,109.00,581,69,664,149,0.0059,0.2750,-0.1000
33,1762979123.731205,1,blueberry,0.9779,859.00,506.00,816,461,902,551,0.0489,0.2459,0.0057
34,1762979126.110875,1,blueberry,0.9824,857.50,506.50,815,460,900,553,0.0489,0.2459,0.0061
34,1762979126.110875,2,blueberry,0.9810,622.50,108.50,581,69,664,148,0.0059,0.2751,-0.1001
35,1762979128.934213,1,blueberry,0.9839,858.00,506.00,816,460,900,552,0.0485,0.2461,0.0048
35,1762979128.934213,2,blueberry,0.9820,623.00,107.50,581,68,665,147,0.0058,0.2747,-0.0999
36,1762979541.990613,1,blueberry,0.9775,695.50,504.00,651,461,740,547,0.0127,0.2504,0.0044
37,1762979543.119956,1,blueberry,0.9793,695.50,505.50,651,463,740,548,0.0132,0.2503,0.0053
38,1762979544.571970,1,blueberry,0.9751,695.50,503.00,652,459,739,547,0.0123,0.2505,0.0039
39,1762979545.862649,1,blueberry,0.9754,696.00,504.50,651,462,741,547,0.0127,0.2504,0.0044
40,1762980668.883919,1,blueberry,0.9769,511.50,602.00,488,579,535,625,-0.0623,0.4990,0.0457
40,1762980668.883919,2,blueberry,0.9767,784.00,507.50,757,484,811,531,0.0625,0.4722,0.0127
40,1762980668.883919,3,blueberry,0.9686,1089.50,603.50,1063,580,1116,627,0.1941,0.4492,0.0511
41,1762980672.393014,2,blueberry,0.9772,784.00,507.50,757,484,811,531,0.0625,0.4726,0.0127
41,1762980672.393014,1,blueberry,0.9764,511.00,602.00,488,579,534,625,-0.0626,0.5008,0.0477
41,1762980672.393014,3,blueberry,0.9654,1090.00,604.50,1063,581,1117,628,0.1860,0.4496,0.0520
42,1762980676.587795,1,blueberry,0.9771,511.50,602.50,488,580,535,625,-0.0617,0.5012,0.0468
42,1762980676.587795,2,blueberry,0.9754,783.50,507.00,756,483,811,531,0.0625,0.4726,0.0127
42,1762980676.587795,3,blueberry,0.9705,1089.50,603.50,1063,580,1116,627,0.1944,0.4499,0.0504
43,1762980680.298563,2,blueberry,0.9814,784.50,508.00,756,484,813,532,0.0625,0.4722,0.0135
43,1762980680.298563,1,blueberry,0.9776,511.50,604.00,488,582,535,626,-0.0617,0.5012,0.0589
43,1762980680.298563,3,blueberry,0.9653,1090.00,604.50,1063,581,1117,628,0.1950,0.4492,0.0511
44,1762980707.726054,1,blueberry,0.9784,841.00,511.50,795,464,887,559,0.0456,0.2449,0.0075
44,1762980707.726054,2,blueberry,0.9739,618.50,46.50,577,7,660,86,-0.0074,0.2771,-0.1131
45,1762980710.105796,1,blueberry,0.9803,841.00,511.50,795,464,887,559,0.0447,0.2449,0.0061
45,1762980710.105796,2,blueberry,0.9718,618.00,47.50,576,9,660,86,-0.0069,0.2773,-0.1147
46,1762980712.566207,1,blueberry,0.9759,841.50,510.00,796,463,887,557,0.0446,0.2448,0.0066
46,1762980712.566207,2,blueberry,0.9755,618.00,46.50,577,6,659,87,-0.0069,0.2771,-0.1136
47,1762980715.066954,1,blueberry,0.9782,840.50,509.50,796,461,885,558,0.0446,0.2448,0.0070
47,1762980715.066954,2,blueberry,0.9728,618.50,46.50,577,6,660,87,-0.0059,0.2769,-0.1135
